Name	FC	PValue	Marker
CCL5	1.659179847	0.179132817	
LYN	0.857905427	0.179600174	
ARHGDIB	0.719187267	0.179842557	
PRPS2	1.475866182	0.181008488	
PEBP4	0.743674063	0.182279851	
UBXN1	0.8433909	0.183695143	
C4B	1.202042809	0.183703512	
PPP2R1A	1.161154474	0.185031904	
MDK	1.270944065	0.18543531	
LIPG	1.285296136	0.186169732	
TSPAN9	0.729971691	0.187263199	
RPL27	0.711488916	0.187760351	
LYZ	1.146506151	0.19014486	
GP6	0.739789341	0.190656003	
PPIP5K2	1.559706577	0.190871651	
ENO3	1.245581347	0.191328433	
FGL1	1.642801425	0.191393741	
ACLY	1.151653556	0.192407979	
TALDO1	1.375514721	0.192436037	
CFL1	0.80198803	0.193922621	
PRKG1	1.285458077	0.194802784	
TSC22D4	1.143818333	0.194828198	
CBL	1.296731003	0.195264916	
IGKV3-20	0.684373334	0.196564419	
PLIN1	1.192213994	0.196910436	
IGHV7-4-1	1.990224588	0.197155011	
MMRN2	1.196066844	0.198203095	
PEBP1	1.300864858	0.199004026	
AHNAK	1.150651658	0.199741457	
OXSR1	0.825414457	0.200691483	
SPARC	0.766234668	0.200925596	
SARG	2.066615583	0.201788698	
PRPSAP1	0.903759276	0.202053998	
DHX9	0.858567516	0.202073659	
PIN1	2.000279437	0.202645267	
GPX4	0.827873435	0.203993456	
FAM98A	0.735936009	0.205806122	
PON3	1.257901796	0.206351721	
COPS8	1.301244637	0.206385723	
JPT2	0.898126521	0.207034592	
F5	0.817022303	0.20752502	
TPI1	1.094669366	0.207999285	
EIF3CL	1.820501498	0.208174201	
SSB	1.556860926	0.208246441	
DSG1	1.356218203	0.208587876	
PON2	0.450409349	0.209763761	
IGLC6	0.681160631	0.210161116	
CCT5	1.073021215	0.210210286	
HP1BP3	0.23344544	0.211601353	
SAA2	5.174983992	0.211681878	
CAMP	1.170466582	0.212161344	
PRRC1	1.460872846	0.213169463	
CYFIP1	0.793506139	0.213623616	
TXNDC5	0.782720526	0.213727975	
DNM3	1.157471363	0.214362442	
SERPINB6	1.222738885	0.214456705	
KRT78	1.430753754	0.215194162	
IGHV4-30-2	1.219934301	0.215241217	
UFD1	0.672424604	0.21536114	
UBE2O	0.741195717	0.21546138	
IGKV1-39	2.04560825	0.215547965	
GSDMA	1.184713224	0.216288833	
ARF5	0.830558501	0.217552298	
CD58	0.756008716	0.217940411	
ERFE	1.483349813	0.218516609	
MYCT1	0.798030644	0.219131376	
HPSE	0.679883588	0.219452405	
LACRT	2.217613958	0.220600976	
PAFAH1B3	0.790384546	0.220721892	
SMIM5	0.727640821	0.2213306	
RPL6	1.172008703	0.221480546	
RPS3A	0.581549874	0.221539434	
RPL30	1.178026527	0.221706849	
DDX3Y	0.630451557	0.221891396	
TUBA4B	0.485443393	0.22334942	
SERPINB1	0.722605062	0.22357223	
PF4	1.45015821	0.224368858	
NCK2	1.488373649	0.225988604	
BCAP31	1.230629746	0.226315186	
PIP4K2A	1.19860358	0.226475753	
RCSD1	0.534228281	0.226483627	
RPL11	0.432299509	0.226717652	
PDE5A	0.80066499	0.2282636	
TFAP2E	2.783491202	0.22930509	
MOB3C	0.665019004	0.230344438	
FYB1	0.721722583	0.23039638	
CDSN	1.308906051	0.230891579	
TARS1	2.194289576	0.231514161	
C8A	1.184885842	0.231946502	
ANO6	0.711095663	0.232552663	
OSTF1	1.358348315	0.23280733	
LY6G6F	0.641675723	0.232992394	
CFI	1.142171982	0.233399534	
DMBT1	3.028747793	0.234462182	
LSM2	1.213953208	0.235143941	
IGLV2-8	1.512116112	0.235468567	
YBX3	0.845316989	0.23552916	
IGLL5	0.768477761	0.235849699	
CA2	0.864860278	0.236141882	
DTD1	1.132678878	0.236225992	
ZZEF1	1.510802154	0.236529658	
LGALS3BP	1.352829937	0.23695274	
CLCN3	0.822584032	0.237079946	
ACP1	1.178928994	0.237129716	
HARS1	1.630428129	0.237908099	
RPL35	0.405037567	0.238037038	
GSTK1	0.681952431	0.238497575	
LSM5	1.237161916	0.238760537	
AKR1A1	1.573482479	0.238935699	
CALR	0.808675659	0.239534234	
CETP	0.804493035	0.24064402	
PFKM	1.495216347	0.241364535	
IGHE	2.886412899	0.241734169	
MAGED2	0.841584766	0.241989716	
SAA1	3.926605627	0.24263605	
LMNA	0.411359399	0.242900634	
IGHV1-24	0.771865731	0.243559221	
CAMK1	0.518166458	0.243844486	
HACD4	0.421763756	0.244734277	
AHSG	1.122428757	0.245878297	
EEF1B2	0.697909656	0.247551679	
COL3A1	1.315051855	0.247883059	
SNRNP200	1.234318359	0.24832329	
PCSK6	1.185206375	0.248595931	
LAMA5	1.310634326	0.249346246	
LEFTY2	1.152850842	0.249998201	
IGLV1-47	0.734486592	0.250282108	
HPCAL1	0.73971714	0.251219413	
PCBP2	0.809632237	0.251655875	
NOTUM	1.15595489	0.252177613	
MYL9	0.56647895	0.252334083	
RGS19	1.200368298	0.252833349	
ZNF706	1.289121102	0.253000863	
CPA4	1.308468018	0.25384104	
ALDH2	1.7079578	0.254573987	
VPS52	2.404628814	0.254638841	
IGLV4-69	2.531406291	0.254989676	
PDCD10	0.656642877	0.256741028	
VDAC2	0.680919296	0.257197957	
MEFV	0.50645793	0.25728162	
EGFL6	1.799154248	0.257775843	
GC	0.808030252	0.258181705	
CD55	0.849578601	0.258262405	
CHMP3	0.503656017	0.258333725	
DNAJA2	1.379034361	0.258387668	
YWHAQ	0.757879736	0.258765181	
UBASH3B	0.606175193	0.259709257	
IMMT	1.13788914	0.259808357	
SFTPB	1.33152765	0.260485342	
P2RX1	1.145110862	0.26059277	
MAT2A	2.371853691	0.260673745	
IGLV3-10	0.466393016	0.261673869	
CXCL12	1.131716658	0.261871001	
NOTCH3	1.152800209	0.261981188	
TBXAS1	0.670285281	0.263245869	
PF4V1	1.51226958	0.263544478	
FLG2	1.203588765	0.264502848	
ATP5ME	0.526228079	0.264639361	
AKR7A2	0.47191682	0.267075102	
RPL17	1.40781849	0.267592879	
GNG11	0.681760376	0.268628946	
SNRPA	1.446868195	0.268987117	
PCK2	0.485488657	0.269330073	
UMPS	0.631491818	0.270177224	
METAP2	1.184429571	0.270625621	
TTR	1.137855578	0.271245861	
ARF3	0.895176233	0.271949182	
ENO1	1.270115539	0.272438436	
DDX6	0.685583579	0.272738296	
RAB33B	0.762395549	0.272910018	
HSPA2	2.388685976	0.273553363	
PTPN6	1.153590071	0.274321754	
HMGN4	1.231318757	0.274332755	
IGHV5-51	0.662361393	0.27445715	
PKP1	1.523131771	0.275114167	
SRSF1	1.18926879	0.275359738	
H1-5	0.576906323	0.275555125	
NSF	0.868072082	0.276211375	
MYO5A	1.460812444	0.277683134	
LOXL1	0.859943141	0.277949917	
CTSG	0.657045128	0.278019358	
CRIP1	0.886113374	0.278757791	
SMARCC1	0.827256674	0.279204334	
RGS18	0.729752458	0.280005117	
WDR44	1.427073594	0.280210942	
BDNF	1.436515854	0.280619855	
GYG1	0.512526214	0.28141422	
ARG1	1.212302166	0.281414649	
GTPBP1	0.858577008	0.282423197	
CNDP2	0.817039506	0.282528354	
RASA3	0.852426662	0.283108378	
HADHA	1.378343617	0.283789333	
FAH	1.301888313	0.283855342	
EIF4G3	0.830559676	0.283874651	
CCDC9B	0.791726661	0.28400152	
HNRNPH1	1.205889311	0.285184849	
XPNPEP1	1.206880191	0.285311788	
XP32	1.280820042	0.286238344	
CSE1L	0.840772903	0.286331681	
TNIK	0.681670284	0.2871748	
TOR4A	0.69542818	0.287423989	
PLEKHO2	1.162314731	0.288925856	
PHB1	0.752641124	0.28976518	
PLXNB2	0.777675159	0.289916831	
VDAC1	0.626053874	0.290362566	
IFITM1	0.639214242	0.290715135	
IGHV3-38	2.240243937	0.290767292	
CAPZA2	1.317281213	0.291741833	
HGFAC	1.248057611	0.292159993	
RPL31	0.587214018	0.292317998	
TFRC	0.774598933	0.292594363	
POSTN	1.230353875	0.292974403	
BAG6	0.718773309	0.293158466	
C1RL	1.211636472	0.293320585	
COL18A1	1.116492939	0.293561838	
LUC7L2	1.586296944	0.293672755	
RHOC	0.836036405	0.293734964	
GTF3C3	0.624074282	0.293889758	
LECT2	1.135948149	0.294099159	
ADD1	0.719546998	0.294307465	
PRELP	1.138639741	0.294844786	
DNM1	1.224514961	0.295893491	
ANXA6	0.69216203	0.295928913	
IGHV3-16	1.747497404	0.29631841	
RPL14	0.791548778	0.296632528	
IGHG1	0.830148398	0.296960395	
DDX1	0.835690303	0.297865006	
TMSB4X	0.740907477	0.299161281	
KY	0.735024747	0.299636127	
TEC	0.587570266	0.299730445	
THBS1	0.76454054	0.299888799	
RPL12	0.527586096	0.301570767	
PCBP1	0.835028611	0.301610927	
PRKACB	0.76442203	0.303077916	
IGKV2D-24	1.248947397	0.30313017	
LGALS7	0.405256804	0.303502393	
RPL9	0.508739722	0.303850384	
SERPINE2	1.23655804	0.305330693	
IGKV3-7	0.80034682	0.305674464	
FAM162A	0.790475207	0.305726896	
COTL1	0.482984494	0.308278268	
ALDH3A2	1.671992659	0.308406829	
IGHV4-28	0.815088263	0.308933183	
TGM2	1.165328405	0.309482152	
PCMT1	0.87247917	0.31008073	
PRRC2A	0.637482942	0.310172786	
UPF1	0.699857945	0.311677824	
KPRP	1.321559185	0.312180205	
RBP4	0.886343763	0.312559401	
SAMD9	1.141698434	0.313828611	
CTSS	1.144541967	0.314987191	
PTPN11	1.548159219	0.315216389	
ANGPTL4	1.30560039	0.315555067	
APEX1	1.191567563	0.315821432	
VPS4A	0.702747612	0.316541746	
HSP90AA1	0.872706488	0.316631663	
KRT1	1.376569384	0.316668894	
BASP1	0.547720103	0.316725177	
IARS1	2.59872734	0.316739547	
UGP2	0.777094237	0.317954994	
KRT7	1.376367457	0.31883048	
ANXA1	1.273697044	0.319202076	
LIPC	1.191279904	0.319575755	
IGLC7	0.785511564	0.31971097	
TGFB1I1	0.690437931	0.31986147	
CS	1.860070986	0.319886152	
STK4	0.657108822	0.31990061	
AGAP2	1.174913291	0.320843853	
NUP205	0.824310036	0.320881788	
COX7A2	0.753492028	0.321470385	
PPP2CB	1.229986973	0.321629588	
RPL34	2.194630917	0.323594549	
KRT80	1.30528067	0.324063541	
PSME2	0.890631875	0.325583854	
DEFA3	0.572199548	0.326040227	
ARHGAP6	0.74259446	0.326291795	
TXNL1	1.166135477	0.326433924	
RAB11FIP1	0.753125962	0.32683882	
ATP5PO	0.684836782	0.327169446	
GNL1	1.120867242	0.328433581	
H1-4	0.657161751	0.328504497	
PAICS	0.704534131	0.328979223	
ZC3HAV1	0.863092721	0.329247275	
RNASE3	0.678040657	0.329558372	
IGLV5-45	1.674137451	0.329566501	
LPL	0.860699305	0.329855976	
RIT1	0.50413612	0.330463106	
PGLYRP2	1.16615765	0.330694609	
PSMF1	0.828158579	0.331019017	
PSMD5	0.895729278	0.331267556	
IGKV1D-13	1.542512681	0.331705807	
SLC25A13	2.659858667	0.331726475	
IL16	1.134634738	0.332137499	
RDH11	0.62242817	0.332534771	
HBA1	1.268930134	0.332625256	
JCHAIN	0.762924736	0.332641771	
H2BU1	0.581718994	0.332720582	
KEL	0.852812856	0.333967816	
LGALSL	0.694288588	0.334095974	
IGHM	0.760090754	0.334564301	
GNAI3	0.855973077	0.334801543	
GPX3	1.320212287	0.334983139	
PIK3CB	0.87385318	0.335160357	
ARAP1	1.107258537	0.337150473	
PTPRA	0.873742528	0.337865331	
ETFB	1.200204456	0.338098157	
VAMP7	0.698443893	0.338267305	
PCDH12	1.105286869	0.339160086	
ACAA1	0.567765669	0.340269107	
RELN	1.355963129	0.340372025	
LAG3	1.161805079	0.340421403	
DDX46	1.149325434	0.340865772	
RUVBL1	1.304410537	0.341184657	
IGKV1D-16	0.426035915	0.343215	
IGLV1-51	0.193785624	0.343983116	
FCN1	1.268462277	0.345561928	
DUSP3	0.603065123	0.346220807	
SCGB2A1	2.320870147	0.3466185	
CCS	1.219112927	0.346651691	
SPTAN1	1.149405182	0.347551734	
BUD31	1.507276816	0.347864091	
FCGR3A	0.837577838	0.348082141	
KLC1	1.378925687	0.348343401	
TMEM245	1.227554836	0.348422598	
IGLV3-9	1.222886676	0.348773811	
IGKV1-8	1.221220964	0.348922027	
ADCY6	1.183867961	0.349329933	
RAD21	1.158730962	0.349444564	
FAT1	1.19705023	0.349476306	
ATP2C1	1.219361	0.349544492	
IL17RA	0.630760709	0.34963117	
CEMIP	0.834145721	0.350087144	
SELL	1.162055319	0.352260324	
HK1	1.116357183	0.352495381	
SRP72	0.619889243	0.354708704	
VAMP8	0.850268441	0.355786302	
CHMP2A	0.829193249	0.356224908	
HMGN1	0.863282228	0.356391715	
RPGR	1.517285411	0.356452162	
CD5L	0.769278549	0.35743165	
IGKV3D-15	0.746477445	0.357701816	
VAPA	0.660981681	0.358456818	
SCARF1	1.420904078	0.358502871	
TIMP3	1.310155386	0.360071588	
IGLV3-12	1.942976495	0.360256778	
PSMA4	1.416389473	0.360902594	
CDA	0.710395183	0.361077921	
ARHGAP1	0.871393275	0.361777783	
OLFML3	1.140371504	0.362688822	
TMX1	1.214998167	0.362690033	
MTHFD1	1.076203104	0.363824546	
RPL27A	1.215345604	0.364752022	
MARK2	1.267466011	0.364759687	
PI4K2A	0.663151278	0.365301791	
TAF15	1.21047754	0.365396462	
ANTXR1	0.876742866	0.365889543	
TARDBP	0.64735436	0.366995895	
IGKV2-28	0.358336566	0.36774561	
TCERG1	0.710656448	0.368351373	
TUBAL3	1.367186363	0.3685489	
RAB6A	1.062724027	0.370013277	
UBE2N	0.817774211	0.370528577	
KRT17	0.770641431	0.370648223	
HSPB1	0.76524657	0.371124393	
GARS1	0.78133708	0.371960679	
TAOK1	0.724729128	0.372207676	
PABPN1	0.773079458	0.372377436	
BANF1	0.696976321	0.372482996	
AMPD2	0.706021674	0.373185155	
PC	2.127221967	0.374363112	
FKBP1A	0.812636778	0.374771669	
CC2D1A	1.074720925	0.375070883	
DEFB1	0.851819737	0.376755589	
CD48	0.68107483	0.377054012	
S100A4	0.899768866	0.377325897	
CTDSPL	0.71018102	0.37792436	
HADHB	0.757136123	0.379925496	
CCL18	1.165213701	0.380397383	
CNN1	1.086866512	0.383359014	
RPL26	0.633431425	0.384262285	
ATG9A	0.866868635	0.385088464	
ARHGEF1	0.658744615	0.38682767	
C1QC	1.143616728	0.387002494	
PLP2	0.848390902	0.387418333	
GNAQ	0.882053372	0.387700172	
IGHA1	0.832008479	0.389774116	
KRT6A	0.610059896	0.390824572	
MYADM	0.716247004	0.393318448	
RBMX	1.242820758	0.39353232	
IGHV4-34	0.398005845	0.394400124	
BZW2	1.313281139	0.394711387	
PSMA1	1.093570858	0.396909699	
ANPEP	1.13502698	0.397829413	
IGHV3-30	0.823909111	0.398998762	
LGALS3	1.095969697	0.399831413	
RPS15A	0.616148918	0.400079878	
FLNB	0.663007654	0.40041465	
IGLL1	0.794451704	0.400579809	
SEPTIN10	1.546080037	0.401419077	
ALOX12B	1.72355925	0.401553392	
UBXN6	1.103585905	0.401974038	
WDR1	0.844475023	0.402918889	
STX16	1.176072725	0.403569219	
CLEC1B	0.853956139	0.403931761	
CFP	0.900955577	0.404069475	
CRP	2.408592396	0.404170992	
NPTN	0.714312959	0.404729367	
TUBB8	1.614513345	0.405651174	
B4GALT5	1.111210116	0.406251715	
UBR4	1.144582105	0.408165229	
M6PR	0.691215431	0.408365284	
RPL4	1.160980304	0.409543729	
SOD2	0.796397397	0.409866143	
RPL38	0.519069111	0.410780602	
IGHV4-4	2.463013543	0.41241048	
YTHDF3	0.686530642	0.413608163	
ECH1	0.714204144	0.415263852	
ATIC	0.906170854	0.415866081	
SRPRA	0.653317964	0.41591814	
IGHG3	0.526991388	0.416369824	
GSTO1	0.912068628	0.416700663	
ADAMDEC1	1.190693341	0.417175343	
SUCLG2	2.439317647	0.4181397	
CXCL10	1.249072516	0.418161391	
RENBP	0.73437476	0.418169393	
TSG101	0.804018592	0.418781365	
SLAIN2	0.868731502	0.419062826	
HNRNPR	0.861595852	0.419917804	
RPS18	0.859930658	0.420565376	
VWF	1.118304125	0.420611899	
ARHGEF12	1.215413896	0.420736836	
IGLV7-43	1.166586649	0.422871708	
SH3BGRL3	0.699250323	0.42515191	
SAR1B	0.844285245	0.42604463	
SPINK9	1.159552304	0.426269628	
ICAM2	0.555556628	0.42665071	
MPO	0.629499046	0.427089006	
TOMM34	0.717100995	0.427364505	
SERPINB3	0.724763447	0.427530503	
MBNL1	0.829263103	0.427809773	
CCT8	0.893724105	0.428001042	
PKN1	0.919817118	0.429317861	
CD84	0.695258128	0.430016863	
IGHG2	0.897118248	0.431862227	
CHST7	1.18581996	0.432176625	
TNNI1	2.306018615	0.432590576	
MOB1B	0.509054816	0.432772193	
GRK5	0.833691489	0.433586963	
TST	0.697232859	0.433839843	
KRT84	1.086605105	0.434101882	
PDLIM5	0.913214517	0.434377387	
RRBP1	1.650330655	0.436036266	
EEF1A2	0.723216431	0.436256987	
CHMP1B	0.896746776	0.436732275	
MACROH2A1	0.673526996	0.43772545	
SKP1	0.87870013	0.438229676	
CCN5	1.124616179	0.438250041	
SRSF3	1.324605942	0.438315862	
PABPC1	0.831038505	0.438429388	
IGHV1-69-2	0.844541664	0.438944073	
RPS25	0.698987878	0.439151798	
EIF2AK2	1.074990385	0.439900325	
NCCRP1	1.651737773	0.440130556	
RPS10	0.637787405	0.441512281	
FUBP1	1.277105584	0.442599566	
LCP1	0.865387299	0.443337242	
KHSRP	0.79296293	0.443561319	
MNDA	0.750699115	0.444329351	
SEMA7A	0.86205857	0.445210129	
MARCO	1.223830238	0.44540526	
DCD	0.605164567	0.44674801	
EIF2B5	1.158634808	0.447195525	
CFHR4	1.142111457	0.44758599	
IGLV9-49	3.828836513	0.447830327	
AK1	1.109876913	0.448503445	
PRKAR2B	0.79719075	0.448972939	
TMEM40	0.772112779	0.449232207	
ATP6V1G1	0.593803969	0.450087175	
DIPK2A	1.192840268	0.450900826	
F13B	1.165697647	0.451069683	
CCL21	1.11741829	0.45204133	
ATP5MF	0.879127453	0.452087314	
APOBR	0.556563749	0.453055475	
ST6GAL1	1.106950108	0.453163982	
ESAM	1.09749251	0.453282977	
RHOF	0.775315717	0.453713983	
IGHV3-21	0.187981565	0.453827145	
RAC2	0.775773445	0.453871792	
TMED9	0.842563422	0.454397705	
PGM1	1.133727619	0.455504023	
SERPINA6	0.821752791	0.455507677	
CSTA	0.782691341	0.455872742	
RPS6	0.694944826	0.456055574	
HSPD1	0.886168711	0.456251927	
EGLN1	0.55866485	0.4566028	
SH3BGRL2	0.618224081	0.456669531	
LSM4	1.116938561	0.457021049	
SF3A1	1.194053524	0.458330513	
ACSL6	0.815020476	0.45842059	
TRPC6	0.84033416	0.458463831	
ICAM1	1.250218723	0.460239007	
H4C1	1.187907482	0.460617184	
PGP	1.160434117	0.46101262	
IGKV1-16	1.236401064	0.461616352	
RPL8	0.71756946	0.46282515	
MOGS	0.891076055	0.463165882	
DGKG	1.275694617	0.46346915	
ANXA5	0.875513643	0.464199952	
CIRBP	0.877183052	0.464290665	
PRAM1	1.355420439	0.46489787	
IQGAP1	1.178578384	0.465464327	
APBB1IP	1.218472845	0.465828504	
PDCD4	1.146649915	0.465839652	
CSK	0.801589439	0.466913178	
ITGB2	0.877085056	0.470258202	
HPR	0.895546958	0.472813281	
SRSF2	1.223777936	0.47293639	
C1R	0.926668463	0.473389565	
PRR4	1.790148776	0.473467216	
HTRA1	1.112448309	0.473928055	
IGHV1-45	1.096315465	0.473966671	
C1QB	1.109080126	0.474599911	
ACSL4	0.858433729	0.474673822	
RPS9	0.65232229	0.474976988	
PSMD3	1.160399477	0.475835817	
RPS2	0.768991155	0.475885757	
RPS15	0.661610095	0.475926078	
RO60	0.683940571	0.477762965	
CA6	1.085444029	0.479129764	
FCGR2A	0.611696744	0.479283891	
CCT4	0.945040589	0.480745508	
CMTM6	0.846850266	0.480882902	
C1QBP	1.062648168	0.480915011	
IGKV1-5	0.747165326	0.480925314	
LRRC59	0.793325797	0.481227541	
EFNB1	1.115114391	0.48264239	
SLC25A24	1.211870776	0.482875396	
GPI	1.341799261	0.483049998	
DBN1	0.855081882	0.483499539	
LGALS1	0.829207305	0.485077057	
LCP2	0.837510135	0.486353303	
GNB4	0.773662395	0.486362361	
MAP4	0.817300731	0.486428185	
CPS1	0.7319949	0.486736273	
HNRNPD	1.158300791	0.486855008	
EEF1A1	0.728774956	0.487215894	
SLC43A3	1.184200663	0.488045537	
DENND3	0.872098508	0.488721118	
PXDN	0.920574726	0.489365905	
COL1A2	1.07184931	0.49024403	
CHMP6	1.080894169	0.490661347	
DNASE1L3	0.945982276	0.49080705	
ASAP2	0.726482965	0.491625891	
HBB	0.869442545	0.492190426	
IGHV5-10-1	1.282318897	0.493663524	
PIGR	0.763250764	0.494921003	
UQCRC2	0.720644357	0.496233779	
ARHGAP30	1.272198565	0.496247952	
FAT4	1.170444137	0.496507637	
SRP14	1.125941706	0.496723048	
KRT6B	0.733862333	0.497461226	
CPSF6	0.811849244	0.497524333	
ARF6	0.896762535	0.49821461	
KRT5	1.236100218	0.499314298	
YWHAG	0.832006075	0.499635193	
EIF5B	1.180887813	0.499681778	
IGHV3-72	1.178352364	0.500229876	
IQGAP2	0.873712956	0.500729259	
FGFR2	1.153300338	0.502586685	
ACAP1	0.8263439	0.503620097	
ABCF1	0.875290346	0.503728304	
CKAP5	0.887250246	0.504371717	
G3BP1	0.917269848	0.50714083	
MANF	0.833062536	0.507187017	
G3BP2	0.820266488	0.508564115	
ATP5F1C	0.741552284	0.508731618	
FEN1	0.835558114	0.510514578	
RAB3GAP2	1.252863808	0.51280773	
ATE1	1.305833399	0.513532023	
SEMA3B	0.934260584	0.514548111	
PON1	1.132588066	0.514848748	
CHMP4A	0.631064792	0.515332647	
PTMA	1.553939885	0.515698424	
TGFBI	0.927231707	0.515867083	
ESYT1	1.337268209	0.516222232	
EEF1G	1.205402582	0.516454944	
TUBA8	0.87135982	0.51731339	
TSPAN33	0.792713089	0.517401294	
PDGFA	1.226431253	0.517407133	
H1-10	0.837070281	0.517940401	
GSR	0.902906179	0.519295211	
CBR1	1.340076347	0.51943263	
CTSD	1.148182602	0.520289107	
OPRPN	1.491544714	0.520444512	
KRT19	1.991215619	0.522425866	
TMBIM1	0.93437541	0.522769306	
PLA1A	1.168738753	0.523032213	
ACO2	1.217249373	0.523625019	
ARHGAP18	0.771015855	0.524002284	
SYTL4	0.805151741	0.526300543	
CSNK1D	0.862179203	0.526535346	
SARS1	0.923568791	0.527836883	
PDGFC	1.206426047	0.528954785	
NDUFS1	0.849519638	0.529360887	
MBP	0.795034693	0.53135264	
LSM14A	0.882918871	0.531590909	
ADAMTS13	0.917221331	0.532738346	
NEK7	0.755635401	0.533029958	
ST3GAL6	0.791543271	0.535051889	
PCDHGA1	1.186486781	0.535726888	
BCHE	1.121343501	0.537393799	
EWSR1	1.197537411	0.538480466	
ADAMTSL4	1.091853737	0.538649549	
MAOB	0.797329885	0.538666875	
PSME1	0.931516046	0.53878646	
C3	1.11112473	0.539471008	
KRT71	0.758266001	0.539820697	
MDH2	1.448513456	0.540514176	
VARS1	1.11880142	0.54071016	
IGHV2-5	0.777327865	0.540771354	
ANXA11	1.153983469	0.541470335	
IGKV3D-20	0.873649199	0.542808994	
CTSW	0.852704924	0.546154366	
ANTXR2	0.92525904	0.546285872	
VPS25	0.840169264	0.546629274	
LAP3	1.425929876	0.546760933	
IGHV3-13	0.853484681	0.547007236	
CD14	1.121750748	0.547244757	
PLEKHF1	0.947348039	0.547358764	
C7	1.059766283	0.547793661	
ANXA2	1.131853403	0.548079643	
PSAP	0.918176454	0.548502662	
CFHR2	1.108136667	0.548904699	
MAPRE1	1.089798109	0.548922554	
EIF4A1	1.114215794	0.549079271	
ACVR1	0.894144662	0.549098896	
MASP2	1.104646049	0.549245173	
DOK3	0.889450852	0.549439923	
PROCR	0.927541716	0.549614005	
HSD17B4	0.941299286	0.550750922	
GLTPD2	1.070778291	0.550767876	
RPL13	0.782399429	0.553031178	
MMP1	0.793427515	0.553713932	
DEFA5	1.084463358	0.55386587	
EEF1E1	1.177554782	0.555065609	
LASP1	0.911235007	0.555411295	
SNRPD3	0.878041475	0.556427404	
STX4	1.142615147	0.557104446	
EHD1	0.946132825	0.558362833	
RNH1	0.899420054	0.558663567	
TSKU	0.918532912	0.558675588	
FOLR2	0.917547497	0.559522027	
HDAC6	1.435301707	0.560599922	
F2	1.054213878	0.561893063	
PZP	1.1094065	0.562847501	
DKK1	1.181341363	0.563864263	
MFAP5	1.126321397	0.56386988	
FAM98B	0.910324288	0.564692245	
RPS27	1.392227773	0.566455773	
RAB27A	0.699188676	0.567232429	
PFKP	0.904529268	0.568560197	
ABI1	0.871099861	0.568707184	
RPS19	0.749884463	0.569142956	
BTK	1.270816598	0.569751718	
NPNT	1.074378313	0.571752787	
INPP5D	0.921748298	0.573514474	
SRSF7	0.889774898	0.574069745	
ACO1	1.25112107	0.575165559	
SNRPE	0.75808725	0.576080649	
EIF1AY	1.128479403	0.576717617	
TUBA3E	1.270590746	0.578419032	
VIM	1.172379043	0.57862376	
MAPK14	0.908358373	0.578952562	
CNP	0.956338373	0.579577422	
PRUNE1	1.084577834	0.579771086	
NACA	1.102418873	0.580108635	
HNRNPU	1.099857471	0.581322044	
AFM	0.886176328	0.583145565	
ASPRV1	0.442431155	0.583278108	
WIPF1	0.855580187	0.583980222	
FAM120A	0.788529922	0.584368036	
FGG	1.050115426	0.584644229	
PCOLCE2	1.084916859	0.584939336	
HSP90AB1	0.933661429	0.585490647	
FBN1	0.887595633	0.587364618	
PSMC2	1.214878258	0.587940126	
PYGB	0.888366961	0.58976677	
COL6A2	1.097411794	0.590121027	
KPNB1	1.098590204	0.590982572	
PGLYRP1	1.066901307	0.591020983	
DRG2	0.829483249	0.591344083	
IGLV3-21	0.871218327	0.591873075	
PPP1R10	1.136626354	0.592245843	
SRP54	0.872928865	0.592496869	
MAP1S	1.054916006	0.592559524	
CAST	0.823340537	0.592966295	
CMPK1	0.904954701	0.593804132	
PSMC5	1.127633457	0.594195961	
AHCY	1.142872068	0.594735909	
PTPRCAP	1.078739632	0.595157702	
CRIP2	0.920111872	0.595433461	
MTHFD2	0.91107137	0.595609949	
PTBP1	1.076914805	0.596833455	
CCT3	0.963536862	0.596904951	
IGLV8-61	0.849075996	0.598040836	
HDHD2	0.922700246	0.598351616	
SPAST	1.053423513	0.599302862	
HLA-G	0.8108963	0.599482598	
IGHV3-7	1.09278634	0.599685281	
TMPRSS6	1.077065298	0.599913255	
BPIFB1	0.927933361	0.600388796	
MCU	0.915408959	0.601597896	
CD99	0.93183882	0.602069723	
APOL3	1.106334825	0.602543672	
SNRPD1	0.792866765	0.606086424	
FN1	0.920918074	0.607542717	
SELENOH	0.838086071	0.607610165	
EIF3A	0.872819764	0.61057118	
IGKV4-1	0.919062719	0.611059685	
GSPT1	0.858538165	0.611637886	
TUFM	1.084438639	0.613489246	
CYBA	0.596382581	0.613948429	
ABHD11	1.082356603	0.61460749	
IGKV2-29	0.843451249	0.61494453	
GNG2	1.097573408	0.615024837	
PRKCD	0.90224472	0.615141432	
DCTN1	0.903027475	0.61742682	
RGS14	1.118372745	0.617497139	
HMGN2	0.870653391	0.617789468	
COL6A3	1.096359733	0.618333138	
ANXA7	1.099911577	0.618647143	
LARP1	0.88920741	0.620485228	
BLVRB	0.941229156	0.621342475	
RPLP0	1.528303261	0.621551904	
VPS37C	0.915215089	0.621812189	
IGKC	0.917085121	0.622950034	
CHMP1A	0.920348044	0.623329575	
FCN2	1.187874954	0.62358712	
MYO1F	1.102524118	0.623908062	
TAOK3	0.860914088	0.624246182	
FKBP3	1.04605046	0.62471108	
