Symbol	logFC	P.Value
ABCC13	1.087792738	0.01258116
C6orf25	-1.207138034	0.012681087
SSSCA1	-0.490980336	0.012764174
FEM1A	-0.432090932	0.012856136
DUT	-0.692830424	0.01294442
NUBPL	0.353018368	0.012999646
PRMT6	1.439370902	0.013080281
GSPT1	0.821425263	0.013177909
ATP7B	-1.128349186	0.013232836
AQP8	1.0413516	0.01329452
ATP9A	0.752417107	0.013374019
SPTLC2	0.966117667	0.013463034
RAB25	-1.256622486	0.013522032
WNT11	-1.437426883	0.013583247
C1orf158	-2.521709179	0.013646602
KRTAP22-1	-1.589666471	0.013728418
SURF2	0.74766214	0.013786948
PRDM2	1.388728171	0.013849755
MSL3	0.612729343	0.013885285
C1QTNF6	1.036115969	0.014001179
COG6	1.297166318	0.014054693
ESD	0.313641058	0.014134842
GAST	-1.921433477	0.014238632
C10orf78	0.622442222	0.014300031
NADSYN1	-0.373786326	0.014370932
GRLF1	1.338889739	0.014419776
COQ7	-0.90851661	0.014480477
INTS5	-0.666453692	0.014554488
MCPH1	-1.474215336	0.014652007
CECR6	-1.962060078	0.014770452
MGA	-1.152745259	0.014849219
NEK10	-2.241927998	0.014976342
ACTL7B	-1.692328875	0.015005375
PHC3	0.429550504	0.015107676
DEF6	0.446672858	0.015187699
LRRCC1	0.910326987	0.015287119
OR6A2	-1.580336691	0.015360384
BCL2L15	-2.29672943	0.015428941
CNTNAP5	-1.687940434	0.015472319
FAF1	-0.324131502	0.015527447
ZKSCAN5	-1.597914211	0.015593668
GMPPA	-1.052319966	0.015659649
C21orf121	0.984094475	0.015738464
LZTS1	-1.989827217	0.01586989
ANGPTL4	-1.281478227	0.015947789
FOXO3	-1.311057598	0.016056314
CT45A1	-1.562761287	0.016129429
APH1A	-0.985383262	0.016245023
KIR2DL3	-2.306451773	0.016309962
APOL4	-1.600136487	0.016402041
PPP2R5D	0.907676646	0.016504518
ERMAP	-0.942512656	0.016593273
MGC44328	-2.719783095	0.016687203
UOX	-1.330832894	0.016797665
SCARNA11	-1.55968569	0.016869458
C2orf62	-0.746764384	0.016966298
GPR128	-1.847192149	0.017044964
PAR4	-0.370457031	0.017137919
COMMD6	0.986184021	0.017194569
SEC31B	0.842318808	0.017343046
OR4F29	-0.905041644	0.017421382
CTU2	-0.69126489	0.017565841
RNF160	0.701514911	0.017635483
ARHGAP28	1.078476395	0.017752684
PARD3	-1.151794585	0.017810945
SNAP25	1.388561235	0.017938675
ST14	-1.598462421	0.017980059
MTTP	0.951121164	0.018051797
HIST1H3J	0.698505729	0.018096925
PLAC9	-2.030840037	0.018210536
BBS9	0.68959597	0.01829802
ACOT9	0.996615785	0.018393618
EFS	-2.055147657	0.018457238
CD40	-1.333994351	0.018586198
TCEAL1	-0.553000256	0.018704536
INTS9	-0.351185662	0.0188359
DACT1	-2.126278725	0.018931189
GPR97	0.763798578	0.019085313
CNPY1	1.39519227	0.019145796
TSR1	-0.682526557	0.019211767
C14orf126	-1.761139561	0.019303558
LOC728343	-1.107250168	0.019393802
PTPRT	-1.510572146	0.019459533
EDC4	-0.559277046	0.019612604
RNU1-3	0.231508896	0.019667297
SLC39A7	0.681151237	0.0197484
AES	-1.859669215	0.019879303
CORO1A	0.48046029	0.019964098
ASAH2	-1.984792921	0.020079957
HAGHL	-0.959187683	0.020185513
DLX3	-0.982936291	0.020293355
LCN12	1.818350832	0.020383677
SHANK3	0.330657604	0.020531948
KLF12	0.727089259	0.020641975
NMT1	0.667113283	0.020725462
FHL2	-1.370442144	0.020843096
ETFB	-2.109710175	0.020945839
ACER1	0.786694663	0.021048673
FBXW8	-1.813284272	0.021127654
AARS	-0.449779754	0.021229151
SNORA41	-0.60775799	0.021257064
CARD6	0.740999354	0.021370901
CNTN5	0.840715637	0.021495834
C20orf30	0.444804072	0.021631768
MT1G	-2.36691568	0.021736501
dJ222E13.2	-0.325782044	0.021806295
AHNAK	-0.284555118	0.021885523
IRX2	-2.122516075	0.022065741
NES	1.43192363	0.022132689
OR52A4	-2.177590011	0.022266265
ADAMTS4	-0.83243632	0.022360142
MSL2	1.183179342	0.022458927
RAD51L1	0.77408926	0.022645924
LCA5	-1.383911804	0.02280388
UTS2	-1.320882804	0.022907759
ODF4	-1.565193018	0.02306422
PYROXD1	0.863630047	0.023155811
C8orf30A	-0.385879316	0.023302805
MRPL17	0.746670091	0.023442671
DND1	0.777196774	0.023525577
CAMP	-1.776707303	0.023634401
RHCE	-1.505131245	0.023726317
PLGLB1	-0.677224062	0.023796233
FAM131B	0.627068212	0.023937622
UHRF1BP1L	0.486520948	0.024001301
HSPC157	0.619001144	0.024149458
LOC285074	0.29305037	0.024211253
HNRNPM	-0.247441998	0.024285381
SIGLEC16	-2.481328823	0.024395158
RAD17	0.781157831	0.024508814
NCKAP5	0.668097614	0.024564513
HOXC4	-1.127961808	0.024783638
NUP50	-0.590936844	0.02489205
DTWD1	0.967188089	0.02503434
ARID5A	0.527697586	0.025173346
TRIM41	0.827583005	0.025379545
ADCY8	-1.745909953	0.025464612
NOG	-0.684310504	0.025577849
TMEM218	0.852460497	0.025672681
MLC1	-1.306407205	0.025904579
FAM110B	-2.192297004	0.026039733
FMO3	-2.362078096	0.026149719
LOC387856	1.533084435	0.026339559
TMCO5A	0.715082088	0.02649028
ARTN	-1.916914098	0.026609657
SSBP1	0.758593932	0.026737143
KRT71	-2.554426079	0.026856294
FAM24A	-2.387682354	0.02706552
MEF2A	0.498308842	0.02716174
IKZF4	-0.964662693	0.02739585
OPCML	0.503357985	0.027548429
B4GALT1	0.416826436	0.027703529
SNORA5B	-1.349326211	0.027802748
FRMD3	-1.401641237	0.02800769
USP53	1.099284904	0.028160472
SYN2	-1.673449025	0.028273103
DTNA	-2.266229815	0.028414191
DMC1	0.321947556	0.028578249
DLK1	0.901295896	0.028789583
S100A12	-1.440608739	0.028882306
VWA3B	-1.334992325	0.028966163
SLIT3	-1.648540271	0.029126548
CD276	-1.246257735	0.029237225
ABHD10	-0.70417424	0.029495213
SNORA78	-0.873583806	0.029596174
BCL2L12	-0.498494472	0.029683329
SYCP2	1.024769295	0.029852982
C1orf65	-1.939189876	0.030047373
SLC15A4	0.615313084	0.03014914
TMEM56	-2.305042632	0.030345745
MAPK6	0.337905598	0.030489027
FRMPD1	-2.777692276	0.030610172
KCNS1	-2.036321546	0.030724929
RBMY1A1	-1.867940152	0.030842947
CACNG6	-1.753014019	0.030946356
CTH	0.860453753	0.0311329
DMBT1	-1.588860027	0.031202582
PDZRN4	1.020901337	0.031426027
NUDT3	0.415877064	0.031546813
FOXS1	0.771945326	0.031766794
PCDHGC5	-1.258508976	0.031894619
TOLLIP	-0.715456517	0.032029273
CD2	-0.730767289	0.032141815
PARD3B	0.781882251	0.032385214
HPGDS	-1.321147192	0.032484677
FLJ30058	-1.384095788	0.032700502
EFCAB4A	0.819870499	0.032827155
TSPAN4	0.65127232	0.032985939
TNR	-2.370959334	0.033123789
CCDC152	0.973476007	0.033294936
KATNB1	-0.266286368	0.033411889
PARP3	0.658306142	0.033562251
BCO2	-1.643501734	0.033725793
CD36	-2.315001819	0.033989168
MAP6	-2.216783669	0.034078834
P2RY13	1.215892039	0.034299083
NDNL2	0.768084183	0.034389182
SLC26A9	-1.823652029	0.034547906
OR10AG1	0.71210681	0.034654935
PITPNA	-0.299478546	0.034861929
GPHA2	-1.011611945	0.03504841
TMED8	-0.672128539	0.035199557
LOC729617	0.245559212	0.035278636
TEX11	-1.906741625	0.035459309
NLRP12	0.645178725	0.035644285
HIST1H4I	-0.797208504	0.035797185
AP1M1	0.575852292	0.035912664
CIAPIN1	-0.517154346	0.036105028
PCDHB1	-2.207247802	0.036195648
U2AF1L2	-0.3048664	0.036334698
KRR1	-1.367300121	0.036482169
CIDEA	-0.662348124	0.036608673
YIF1B	0.753823401	0.036823826
KIAA1324	-1.673334712	0.036995816
LRFN5	-1.248517549	0.03711557
SNORD121A	0.618036079	0.037228625
RERG	1.832834211	0.037361779
ATP11A	-1.411052376	0.0375745
C21orf42	-1.461064064	0.037760916
IGFBP2	-1.125695324	0.037944373
GNAT1	-1.466631251	0.03808524
CXorf55	-1.668260245	0.038247715
C14orf119	-1.174763076	0.038411848
PPA1	-0.225946066	0.038637987
EVX2	-1.279806945	0.038716201
SLC25A25	0.82122219	0.038839563
SLC5A8	0.330611806	0.03892381
LAMA2	-0.928226584	0.03911548
PRSS3	-2.371754666	0.03923385
CSNK2A2	0.46812599	0.039403189
CLEC10A	-1.362554363	0.039524806
DNAH12L	-1.662672812	0.03971878
LOC729384	-0.828409702	0.039925312
P2RY13	-0.410611132	0.040273624
SLC16A14	0.707531634	0.040394367
ELMOD1	-0.957238691	0.040607745
NKX6-1	-1.452065123	0.040773609
FEZ1	-0.64874305	0.040905842
C7orf52	-2.282285547	0.041121898
CMIP	-0.852458236	0.041319204
C13orf26	0.61998282	0.041529681
EEF1B2	-0.424787046	0.041738388
EXOC2	-0.753384349	0.041916167
PUSL1	-0.601922983	0.042103696
LRRC28	-0.269728856	0.04232712
TCP1	0.558394632	0.042637295
ACBD7	0.3215541	0.042775289
